Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,EMA_20,EMA_50,EMA_200,Rolling_Vol_5,Rolling_Vol_10,ATR_proxy,Abs_Return_lag1,RSI,MACD,MACD_Signal,ADX,Momentum,Volume_MA20,Volume_Ratio,20Day_High,20Day_Low,Breakout_Up,Breakout_Down,Rolling_Sharpe_20,Target,Returns_lag1,Returns_lag2,Returns_lag3,EMA_20_lag1,EMA_20_lag2,EMA_20_lag3,EMA_50_lag1,EMA_50_lag2,EMA_50_lag3,EMA_200_lag1,EMA_200_lag2,EMA_200_lag3,RSI_lag1,RSI_lag2,RSI_lag3,MACD_lag1,MACD_lag2,MACD_lag3,MACD_Signal_lag1,MACD_Signal_lag2,MACD_Signal_lag3,ADX_lag1,ADX_lag2,ADX_lag3,Momentum_lag1,Momentum_lag2,Momentum_lag3,Volume_Ratio_lag1,Volume_Ratio_lag2,Volume_Ratio_lag3,Breakout_Up_lag1,Breakout_Up_lag2,Breakout_Up_lag3,Breakout_Down_lag1,Breakout_Down_lag2,Breakout_Down_lag3,Rolling_Sharpe_20_lag1,Rolling_Sharpe_20_lag2,Rolling_Sharpe_20_lag3,Trend_alignment,Trend_alignment_lag1,Trend_alignment_lag2,RSI_change,RSI_change_lag1,RSI_change_lag2,Vol_Ratio,Vol_Change,Next_5D_Volatility,Vol_lag1,Vol_lag2
2024-06-18 18:30:00,3615.701009861555,3621.557881055292,3582.9225030243783,3591.18798828125,1509050,0.0,0.0,-0.0035124149180353337,3611.1419040049223,3618.0543453989753,3623.272105406495,0.008862728430580597,0.011489054500836015,44.35018699022248,0.004423166053997951,49.81973588655735,-2.1891907116078073,-5.641825768119475,36.34011996131678,81.899169921875,2672232.35,0.5647151154352278,3698.214276152929,3392.6274000370645,0,0,-0.016346875443594516,0,-0.004423166053997951,-0.011887062608857302,0.01213573634632703,3613.242316186361,3614.231381952689,3613.6391672240247,3619.1509314037803,3619.7756146689853,3619.772275599352,3623.5945588449395,3623.7930348995997,3623.832588799344,47.80070292791894,48.646206354745345,52.80683505482507,-0.3838585685630278,0.637149900465829,0.3008259728376288,-6.5049845322473905,-8.03526602316848,-10.203370004077058,34.8784173978836,32.08620297071233,28.455317330080256,106.0341796875,152.179443359375,134.18408203125,0.6589608584578693,0.6786592321361029,0.6954036285436489,0.0,0.0,0.0,0.0,0.0,0.0,-0.06851262985711083,0.033342755616265526,-0.03993758752300604,0,0.0,0.0,2.0190329586384124,-0.8455034268264043,-4.160628700079727,0.7713391115712939,-0.002626326070255418,-5.492010972763073,-5.337761366482732,-5.383938259295344
2024-06-19 18:30:00,3585.8035709865335,3598.981069597492,3570.736818650082,3577.5380859375,2846526,0.0,0.0,-0.003800943417134439,3607.9415403794533,3616.4654724789175,3622.817040536157,0.008872506102878588,0.011673242023297448,38.63537803091367,0.0035124149180353337,55.242386435577735,-4.66755778316292,-5.446972171128164,37.80182252474996,38.540771484375,2749000.25,1.0354768065226623,3698.214276152929,3392.6274000370645,0,0,-0.01585450354424464,1,-0.0035124149180353337,-0.004423166053997951,-0.011887062608857302,3611.1419040049223,3613.242316186361,3614.231381952689,3618.0543453989753,3619.1509314037803,3619.7756146689853,3623.272105406495,3623.5945588449395,3623.7930348995997,49.81973588655735,47.80070292791894,48.646206354745345,-2.1891907116078073,-0.3838585685630278,0.637149900465829,-5.641825768119475,-6.5049845322473905,-8.03526602316848,36.34011996131678,34.8784173978836,32.08620297071233,81.899169921875,106.0341796875,152.179443359375,0.5647151154352278,0.6589608584578693,0.6786592321361029,0.0,0.0,0.0,0.0,0.0,0.0,-0.016346875443594516,-0.06851262985711083,0.033342755616265526,0,0.0,0.0,5.422650549020382,2.0190329586384124,-0.8455034268264043,0.7600070381590825,-0.0028007359204188596,-4.92105666057247,-5.492010972763073,-5.337761366482732
2024-06-20 18:30:00,3615.08724810415,3663.0743420998706,3587.7403447033967,3599.737060546875,4642195,0.0,0.0,0.006205098052382452,3607.160161347779,3615.80945632472,3622.5873889939753,0.008782551436986398,0.011605898594287952,28.24425094740991,0.003800943417134439,65.66564374890672,-4.785248451204097,-5.314627427143351,37.46144753163957,-18.5615234375,2876322.9,1.6139338876035094,3698.214276152929,3392.6274000370645,0,0,-0.046039150242076325,1,-0.003800943417134439,-0.0035124149180353337,-0.004423166053997951,3607.9415403794533,3611.1419040049223,3613.242316186361,3616.4654724789175,3618.0543453989753,3619.1509314037803,3622.817040536157,3623.272105406495,3623.5945588449395,55.242386435577735,49.81973588655735,47.80070292791894,-4.66755778316292,-2.1891907116078073,-0.3838585685630278,-5.446972171128164,-5.641825768119475,-6.5049845322473905,37.80182252474996,36.34011996131678,34.8784173978836,38.540771484375,81.899169921875,106.0341796875,1.0354768065226623,0.5647151154352278,0.6589608584578693,0.0,0.0,0.0,0.0,0.0,0.0,-0.01585450354424464,-0.016346875443594516,-0.06851262985711083,0,0.0,0.0,10.423257313328982,5.422650549020382,2.0190329586384124,0.7566665087699236,-0.002823347157301554,-4.597772790411209,-4.92105666057247,-5.492010972763073
2024-06-23 18:30:00,3597.8478554509443,3643.426105277136,3581.364161482725,3605.4521484375,1702154,0.0,0.0,0.0015876403733101618,3606.997493451562,3615.4032873879664,3622.416889087941,0.0064318227438770045,0.009186225709955085,75.33399739647393,0.006205098052382452,63.55417501325001,-4.367019046557743,-5.125105751026229,38.655069664937386,-72.877685546875,2895958.0,0.5877688833885022,3698.214276152929,3392.6274000370645,0,0,-0.09364191493939171,1,0.006205098052382452,-0.003800943417134439,-0.0035124149180353337,3607.160161347779,3607.9415403794533,3611.1419040049223,3615.80945632472,3616.4654724789175,3618.0543453989753,3622.5873889939753,3622.817040536157,3623.272105406495,65.66564374890672,55.242386435577735,49.81973588655735,-4.785248451204097,-4.66755778316292,-2.1891907116078073,-5.314627427143351,-5.446972171128164,-5.641825768119475,37.46144753163957,37.80182252474996,36.34011996131678,-18.5615234375,38.540771484375,81.899169921875,1.6139338876035094,1.0354768065226623,0.5647151154352278,0.0,0.0,0.0,0.0,0.0,0.0,-0.046039150242076325,-0.01585450354424464,-0.016346875443594516,0,0.0,0.0,-2.1114687356567075,10.423257313328982,5.422650549020382,0.7000832402438547,-0.002754402966078081,-4.461976038668546,-4.597772790411209,-4.92105666057247
2024-06-24 18:30:00,3605.641118078784,3634.5938422484783,3582.8755160198134,3625.9033203125,1338808,0.0,0.0,0.005672290473710095,3608.798048390699,3615.815053385007,3622.451579945897,0.004589710818979748,0.007070562563344484,62.06194379441058,0.0015876403733101618,64.35969078382104,-2.358147323013327,-4.571714065423649,38.87690455031409,-19.128173828125,2870821.5,0.4663501370600715,3698.214276152929,3392.6274000370645,0,0,-0.035214153026499745,1,0.0015876403733101618,0.006205098052382452,-0.003800943417134439,3606.997493451562,3607.160161347779,3607.9415403794533,3615.4032873879664,3615.80945632472,3616.4654724789175,3622.416889087941,3622.5873889939753,3622.817040536157,63.55417501325001,65.66564374890672,55.242386435577735,-4.367019046557743,-4.785248451204097,-4.66755778316292,-5.125105751026229,-5.314627427143351,-5.446972171128164,38.655069664937386,37.46144753163957,37.80182252474996,-72.877685546875,-18.5615234375,38.540771484375,0.5877688833885022,1.6139338876035094,1.0354768065226623,0.0,0.0,0.0,0.0,0.0,0.0,-0.09364191493939171,-0.046039150242076325,-0.01585450354424464,0,0.0,0.0,0.8055157705710272,-2.1114687356567075,10.423257313328982,0.6490377166102667,-0.0024808517443647357,-4.4700949713119975,-4.461976038668546,-4.597772790411209
2024-06-25 18:30:00,3631.618235835589,3652.825064309877,3628.312041577448,3642.33984375,1639845,0.0,0.0,0.004533083754721723,3611.992505091585,3616.855241242458,3622.649473118077,0.004806618933390501,0.006965727397566659,51.718326228664864,0.005672290473710095,63.155398614256114,0.5538041570912355,-3.546610420920672,38.048844113427684,3.542724609375,2862714.1,0.5728287711301663,3698.214276152929,3392.6274000370645,0,0,-0.005406114145821009,1,0.005672290473710095,0.0015876403733101618,0.006205098052382452,3608.798048390699,3606.997493451562,3607.160161347779,3615.815053385007,3615.4032873879664,3615.80945632472,3622.451579945897,3622.416889087941,3622.5873889939753,64.35969078382104,63.55417501325001,65.66564374890672,-2.358147323013327,-4.367019046557743,-4.785248451204097,-4.571714065423649,-5.125105751026229,-5.314627427143351,38.87690455031409,38.655069664937386,37.46144753163957,-19.128173828125,-72.877685546875,-18.5615234375,0.4663501370600715,0.5877688833885022,1.6139338876035094,0.0,0.0,0.0,0.0,0.0,0.0,-0.035214153026499745,-0.09364191493939171,-0.046039150242076325,0,0.0,0.0,-1.2042921695649227,0.8055157705710272,-2.1114687356567075,0.6899392869985638,-0.0021591084641761583,-4.181603104474849,-4.4700949713119975,-4.461976038668546
2024-06-26 18:30:00,3618.865779217661,3723.719368748634,3606.6801840344065,3716.303955078125,4526556,0.0,0.0,0.020306757332114955,3621.9269288998266,3620.755190804641,3623.5813585107144,0.004119551532983292,0.007123618789381372,24.513022732428908,0.004533083754721723,62.64784649799931,8.729207455062351,-1.0914468457240676,37.964799947222055,96.824462890625,3010637.15,1.5035209407417298,3723.719368748634,3392.6274000370645,1,0,0.02442033598774246,0,0.004533083754721723,0.005672290473710095,0.0015876403733101618,3611.992505091585,3608.798048390699,3606.997493451562,3616.855241242458,3615.815053385007,3615.4032873879664,3622.649473118077,3622.451579945897,3622.416889087941,63.155398614256114,64.35969078382104,63.55417501325001,0.5538041570912355,-2.358147323013327,-4.367019046557743,-3.546610420920672,-4.571714065423649,-5.125105751026229,38.048844113427684,38.87690455031409,38.655069664937386,3.542724609375,-19.128173828125,-72.877685546875,0.5728287711301663,0.4663501370600715,0.5877688833885022,0.0,0.0,0.0,0.0,0.0,0.0,-0.005406114145821009,-0.035214153026499745,-0.09364191493939171,0,0.0,0.0,-0.5075521162568037,-1.2042921695649227,0.8055157705710272,0.5782136076000484,-0.00300406725639808,-4.270158756156397,-4.181603104474849,-4.4700949713119975
2024-06-27 18:30:00,3700.8591386940006,3740.722345851188,3682.013879060851,3687.96484375,2731571,0.0,0.0,-0.007625617191349798,3628.2162541236526,3623.390863469165,3624.2219902046377,0.007291422216429611,0.009244359803439236,117.03918471422776,0.020306757332114955,51.354194761103784,12.774289961997965,1.6817005158203393,35.81456299961333,24.560302734375,3001254.2,0.9101431661470061,3740.722345851188,3392.6274000370645,0,0,0.1541104143992271,1,0.020306757332114955,0.004533083754721723,0.005672290473710095,3621.9269288998266,3611.992505091585,3608.798048390699,3620.755190804641,3616.855241242458,3615.815053385007,3623.5813585107144,3622.649473118077,3622.451579945897,62.64784649799931,63.155398614256114,64.35969078382104,8.729207455062351,0.5538041570912355,-2.358147323013327,-1.0914468457240676,-3.546610420920672,-4.571714065423649,37.964799947222055,38.048844113427684,38.87690455031409,96.824462890625,3.542724609375,-19.128173828125,1.5035209407417298,0.5728287711301663,0.4663501370600715,1.0,0.0,0.0,0.0,0.0,0.0,0.02442033598774246,-0.005406114145821009,-0.035214153026499745,0,0.0,0.0,-11.293651736895526,-0.5075521162568037,-1.2042921695649227,0.7886574856413087,-0.001952937587009625,-4.343266107703442,-4.270158756156397,-4.181603104474849
2024-06-30 18:30:00,3668.930984521538,3780.1135277066983,3668.930984521538,3757.914794921875,2658723,0.0,0.0,0.01896708730573149,3640.568496104436,3628.6663117614285,3625.5522668684907,0.010074248238985452,0.009110035035154286,58.70846679033684,0.007625617191349798,64.38376022856232,21.377991279296566,5.620958668515585,34.45725572134952,138.057373046875,2586350.35,1.027982539179195,3780.1135277066983,3392.6274000370645,1,0,0.21207215418177824,1,-0.007625617191349798,0.020306757332114955,0.004533083754721723,3628.2162541236526,3621.9269288998266,3611.992505091585,3623.390863469165,3620.755190804641,3616.855241242458,3624.2219902046377,3623.5813585107144,3622.649473118077,51.354194761103784,62.64784649799931,63.155398614256114,12.774289961997965,8.729207455062351,0.5538041570912355,1.6817005158203393,-1.0914468457240676,-3.546610420920672,35.81456299961333,37.964799947222055,38.048844113427684,24.560302734375,96.824462890625,3.542724609375,0.9101431661470061,1.5035209407417298,0.5728287711301663,0.0,1.0,0.0,0.0,0.0,0.0,0.1541104143992271,0.02442033598774246,-0.005406114145821009,1,0.0,0.0,13.02956546745854,-11.293651736895526,-0.5075521162568037,1.105719405107617,0.0009642132038311657,-4.507401172355679,-4.343266107703442,-4.270158756156397
2024-07-01 18:30:00,3772.462155624164,3800.61185331036,3762.023982045802,3794.944091796875,2307449,0.0,0.0,0.009853681867677766,3655.27093378943,3635.1870090177204,3627.237757663798,0.011539538169597647,0.009583815163122456,111.18254318516028,0.01896708730573149,68.44865582092996,30.829063101632528,10.662579555138974,33.15504756680357,191.097900390625,2593884.15,0.8895728824280761,3800.61185331036,3392.6274000370645,1,0,0.39979511491835273,0,0.01896708730573149,-0.007625617191349798,0.020306757332114955,3640.568496104436,3628.2162541236526,3621.9269288998266,3628.6663117614285,3623.390863469165,3620.755190804641,3625.5522668684907,3624.2219902046377,3623.5813585107144,64.38376022856232,51.354194761103784,62.64784649799931,21.377991279296566,12.774289961997965,8.729207455062351,5.620958668515585,1.6817005158203393,-1.0914468457240676,34.45725572134952,35.81456299961333,37.964799947222055,138.057373046875,24.560302734375,96.824462890625,1.027982539179195,0.9101431661470061,1.5035209407417298,1.0,0.0,1.0,0.0,0.0,0.0,0.21207215418177824,0.1541104143992271,0.02442033598774246,1,1.0,0.0,4.064895592367634,13.02956546745854,-11.293651736895526,1.2039395620268174,0.0019557230064751914,-4.625406800661497,-4.507401172355679,-4.343266107703442
